ID,POSITION,HEIGHT,WEIGHT,CAREER_STAGE,AGE,SPONSORSHIP_EARNINGS,SHOE_SPONSOR
1159,guard,192,200,mid-career,32,427,yes
1160,guard,185,197,mid-career,29,178,yes
1161,guard,185,197,mid-career,29,178,yes
1162,guard,178,193,rookie,21,1078,no
1163,forward,184,213,mid-career,32,12,no
1164,guard,169,183,rookie,24,1034,yes
1165,forward,191,218,rookie,19,1855,no
1166,forward,198,221,rookie,22,1409,no
1167,forward,190,215,rookie,22,1179,no
1168,guard,169,183,rookie,24,1034,yes
1169,guard,178,193,rookie,21,1078,no
1170,center,218,251,mid-career,35,60,no
1171,guard,172,183,rookie,24,1383,yes
1172,forward,191,218,rookie,19,1855,no
1173,guard,169,183,rookie,24,1034,yes
1174,center,196,235,veteran,32,47,no
1175,guard,178,193,rookie,21,1078,no
1176,center,195,235,mid-career,28,481,no
1177,forward,195,221,veteran,25,694,no
1178,forward,197,221,rookie,22,1312,no
1179,guard,185,197,mid-career,29,178,yes
1180,forward,190,215,rookie,22,1179,no
1181,guard,169,183,rookie,24,1034,yes
1182,center,206,246,mid-career,29,314,no
1183,guard,185,197,mid-career,29,178,yes
1184,forward,198,221,rookie,22,1409,no
1185,guard,172,183,rookie,24,1383,yes
1186,guard,190,207,mid-career,27,648,yes
1187,forward,191,218,rookie,19,1855,no
1188,guard,166,188,rookie,21,1536,yes
1189,forward,197,221,rookie,22,1312,no
1190,center,195,235,mid-career,28,481,no
1191,guard,185,197,,29,178,yes
1192,guard,185,200,mid-career,31,213,yes
1193,forward,190,215,rookie,22,1179,no
1194,,198,223,veteran,29,362,yes
1195,forward,198,221,rookie,22,1409,no
1196,,205,232,rookie,24,1416,no
1197,forward,195,221,veteran,25,694,no
1198,guard,185,200,mid-career,31,213,yes
1199,guard,158,184,veteran,29,162,yes
1200,forward,195,221,veteran,25,694,no
1201,forward,184,213,mid-career,32,12,no
1202,forward,191,218,rookie,19,1855,no
1203,center,201,244,mid-career,25,1111,yes
1204,guard,185,207,rookie,23,1497,yes
1205,guard,185,200,mid-career,31,213,yes
1206,guard,158,184,veteran,29,162,yes
1207,guard,172,183,rookie,24,1383,yes
1208,guard,192,200,mid-career,32,427,yes
1209,guard,185,200,mid-career,31,213,yes
1210,forward,192,219,rookie,22,1359,no
1211,forward,205,232,rookie,24,1416,no
1212,forward,197,221,rookie,22,1312,no
1213,guard,189,199,mid-career,27,385,yes
1214,guard,172,183,rookie,24,1383,yes
1215,guard,190,207,mid-career,27,648,yes
1216,guard,185,197,mid-career,29,178,yes
1217,forward,192,219,rookie,22,1359,no
1218,guard,185,197,mid-career,29,178,yes
1219,forward,184,213,,32,12,no
1220,center,218,251,mid-career,35,60,no
1221,guard,185,197,mid-career,29,178,yes
1222,guard,182,199,rookie,21,1678,yes
1223,,182,199,rookie,21,1678,yes
1224,guard,158,184,veteran,29,162,yes
1225,guard,185,207,rookie,23,1497,yes
1226,center,195,235,mid-career,28,481,no
1227,forward,205,232,rookie,24,1416,no
1228,guard,189,199,mid-career,27,385,yes
1229,forward,198,223,veteran,29,362,yes
1230,guard,166,188,rookie,21,1536,yes
1231,guard,192,200,mid-career,32,427,yes
1232,forward,191,218,rookie,19,1855,no
1233,center,218,251,mid-career,35,60,no
1234,center,196,235,veteran,32,47,no
1235,guard,178,193,rookie,21,1078,no
1236,center,196,235,veteran,32,47,no
1237,guard,172,183,rookie,24,1383,yes
1238,guard,166,188,rookie,21,1536,yes
1239,forward,198,223,veteran,29,362,yes
1240,guard,185,200,mid-career,31,213,yes
1241,forward,192,218,veteran,29,561,yes
1242,forward,202,220,mid-career,31,542,no
1243,forward,184,213,mid-career,32,12,no
1244,forward,202,220,mid-career,31,542,no
1245,guard,166,188,rookie,21,1536,yes
1246,guard,166,188,rookie,21,1536,yes
1247,forward,190,215,rookie,22,1179,no
1248,forward,215,232,mid-career,30,434,no
1249,forward,192,219,rookie,22,1359,no
1250,center,201,244,mid-career,25,1111,yes
1251,center,206,246,mid-career,29,314,no
1252,center,201,244,mid-career,25,1111,yes
1253,center,201,244,mid-career,25,1111,yes
1254,center,201,244,mid-career,25,1111,yes
1255,guard,178,193,rookie,21,1078,no
1256,forward,190,215,rookie,22,1179,no
1257,guard,189,199,mid-career,27,385,yes
1258,forward,190,215,rookie,22,1179,no
1259,forward,197,221,rookie,22,1312,no
1260,center,195,235,mid-career,28,481,no
1261,guard,182,199,rookie,21,1678,yes
1262,forward,198,223,veteran,29,362,yes
1263,forward,192,219,rookie,22,1359,no
1264,guard,178,193,rookie,21,1078,no
1265,guard,166,188,rookie,21,1536,yes
1266,center,218,251,mid-career,35,60,no
1267,guard,192,200,mid-career,32,427,yes
1268,forward,198,221,rookie,22,1409,no
1269,center,206,246,mid-career,29,314,no
1270,forward,192,219,rookie,22,1359,no
1271,guard,185,197,mid-career,29,178,yes
1272,guard,166,188,rookie,21,1536,yes
1273,forward,184,213,mid-career,32,12,no
1274,guard,158,184,veteran,29,162,yes
1275,center,201,244,mid-career,25,1111,yes
1276,guard,178,193,rookie,21,1078,no
1277,guard,166,188,rookie,21,1536,yes
1278,center,195,235,mid-career,28,481,no
1279,center,201,244,mid-career,25,1111,yes
1280,guard,185,200,mid-career,31,213,yes
1281,center,218,251,mid-career,35,60,no
1282,guard,185,197,mid-career,29,178,yes
1283,center,206,246,mid-career,29,314,no
1284,guard,182,199,rookie,21,1678,yes
1285,forward,191,218,rookie,19,1855,no
1286,center,195,235,mid-career,28,481,no
1287,guard,172,183,rookie,24,1383,yes
1288,guard,185,207,rookie,23,1497,yes
1289,forward,198,223,veteran,29,362,yes
1290,guard,166,188,rookie,21,1536,yes
1291,forward,191,218,rookie,19,1855,no
1292,forward,184,213,mid-career,32,12,no
1293,forward,192,219,rookie,22,1359,no
1294,center,195,235,mid-career,28,481,no
1295,guard,192,200,mid-career,32,427,yes
1296,forward,192,218,veteran,29,561,yes
1297,guard,192,200,mid-career,32,427,yes
1298,guard,158,184,veteran,29,162,yes
1299,guard,185,207,rookie,23,1497,yes
1300,guard,185,197,mid-career,29,178,yes
1301,forward,192,218,veteran,29,561,yes
1302,forward,191,218,rookie,19,1855,no
1303,guard,169,183,rookie,24,1034,yes
1304,guard,166,188,rookie,21,1536,yes
1305,forward,198,223,veteran,29,362,yes
1306,center,201,244,mid-career,25,1111,yes
1307,center,206,246,mid-career,29,314,no
1308,forward,192,219,rookie,22,1359,no
1309,guard,172,183,rookie,24,1383,yes
1310,center,206,246,mid-career,29,314,no
1311,forward,197,221,rookie,22,1312,no
1312,forward,192,218,veteran,29,561,yes
1313,guard,166,188,rookie,21,1536,yes
1314,,190,207,mid-career,27,648,yes
1315,guard,178,193,rookie,21,1078,no
1316,forward,205,232,rookie,24,1416,no
1317,forward,198,223,veteran,29,362,yes
1318,forward,190,215,rookie,22,1179,no
1319,forward,205,232,rookie,24,1416,no
1320,guard,185,207,rookie,23,1497,yes
1321,center,218,251,mid-career,35,60,no
1322,guard,172,183,rookie,24,1383,yes
1323,guard,182,199,rookie,21,1678,yes
1324,center,218,251,mid-career,35,60,no
1325,guard,192,200,mid-career,32,427,yes
1326,forward,192,218,veteran,29,561,yes
1327,forward,198,223,veteran,29,362,yes
1328,guard,189,199,mid-career,27,385,yes
1329,guard,158,184,veteran,29,162,yes
1330,guard,189,199,mid-career,27,385,yes
1331,center,206,246,mid-career,29,314,no
1332,guard,185,197,mid-career,29,178,yes
1333,guard,178,193,rookie,21,1078,no
1334,guard,166,188,rookie,21,1536,yes
1335,forward,190,215,rookie,22,1179,no
1336,forward,197,221,rookie,22,1312,no
1337,center,201,244,mid-career,25,1111,yes
1338,guard,158,184,veteran,29,162,yes
1339,forward,198,223,veteran,29,362,yes
1340,center,201,244,mid-career,25,1111,yes
1341,forward,198,221,rookie,22,1409,no
1342,guard,185,207,rookie,23,1497,yes
1343,guard,190,207,mid-career,27,648,yes
1344,guard,169,183,rookie,24,1034,yes
1345,forward,202,220,mid-career,31,542,no
1346,guard,178,193,rookie,21,1078,no
1347,center,206,246,mid-career,29,314,no
1348,guard,189,199,mid-career,27,385,yes
1349,center,218,251,mid-career,35,60,no
1350,guard,185,207,rookie,23,1497,yes
1351,forward,197,221,rookie,22,1312,no
1352,forward,197,221,rookie,22,1312,no
1353,forward,192,218,veteran,29,561,yes
1354,guard,182,199,rookie,21,1678,yes
1355,forward,184,213,mid-career,32,12,no
1356,forward,198,221,rookie,22,1409,no
1357,center,207,247,veteran,27,1065,no
1358,guard,182,199,rookie,21,1678,yes
1359,center,206,246,mid-career,29,314,no
1360,guard,189,199,mid-career,27,385,yes
1361,forward,198,223,veteran,29,362,yes
1362,guard,169,183,rookie,24,1034,yes
1363,forward,198,221,rookie,22,1409,no
1364,center,201,244,mid-career,25,1111,yes
1365,forward,197,221,rookie,22,1312,no
1366,forward,202,220,mid-career,31,542,no
1367,forward,198,223,veteran,29,362,yes
1368,forward,198,223,veteran,29,362,yes
1369,center,195,235,mid-career,28,481,no
1370,center,196,235,veteran,32,47,no
1371,guard,169,183,rookie,24,1034,yes
1372,forward,191,218,rookie,19,1855,no
1373,center,201,244,mid-career,25,1111,yes
1374,forward,192,219,rookie,22,1359,no
1375,guard,185,200,mid-career,31,213,yes
1376,guard,172,183,rookie,24,1383,yes
1377,forward,205,232,rookie,24,1416,no
1378,guard,185,200,mid-career,31,213,yes
1379,guard,190,207,mid-career,27,648,yes
1380,guard,182,199,rookie,21,1678,yes
1381,guard,182,199,rookie,21,1678,yes
1382,forward,195,221,veteran,25,694,no
1383,guard,182,199,rookie,21,1678,yes
1384,guard,169,183,rookie,24,1034,yes
1385,center,195,235,mid-career,28,481,no
1386,center,207,247,veteran,27,1065,no
1387,guard,166,188,rookie,21,1536,yes
1388,forward,192,218,veteran,29,561,yes
1389,forward,190,215,rookie,22,1179,no
1390,guard,185,197,mid-career,29,178,yes
1391,forward,192,218,veteran,29,561,yes
1392,guard,185,200,mid-career,31,213,yes
1393,guard,158,184,veteran,29,162,yes
1394,forward,192,218,veteran,29,561,yes
1395,guard,185,197,mid-career,29,178,yes
1396,forward,190,215,rookie,22,1179,no
1397,center,218,251,mid-career,35,60,no
1398,guard,169,183,rookie,24,1034,yes
1399,forward,202,220,mid-career,31,542,no
1400,guard,182,199,rookie,21,1678,yes
1401,guard,182,199,rookie,21,1678,yes
1402,center,195,235,mid-career,28,481,no
1403,forward,195,221,veteran,25,694,no
1404,center,195,235,mid-career,28,481,no
1405,guard,166,188,rookie,21,1536,yes
1406,guard,166,188,rookie,21,1536,yes
1407,forward,197,221,rookie,22,1312,no
1408,forward,195,221,veteran,25,694,no
1409,center,195,235,mid-career,28,481,no
1410,guard,182,199,rookie,21,1678,yes
1411,forward,205,232,rookie,24,1416,no
1412,guard,192,200,mid-career,32,427,yes
1413,guard,185,197,mid-career,29,178,yes
1414,guard,185,197,mid-career,29,178,yes
1415,center,207,247,veteran,27,1065,no
1416,forward,192,218,veteran,29,561,yes
1417,guard,192,200,mid-career,32,427,yes
1418,center,201,244,mid-career,25,1111,yes
1419,forward,195,221,veteran,25,694,no
1420,center,196,235,veteran,32,47,no
1421,forward,192,219,rookie,22,1359,no
1422,center,207,247,veteran,27,1065,no
1423,guard,166,188,rookie,21,1536,yes
1424,guard,185,200,mid-career,31,213,yes
1425,forward,192,218,veteran,29,561,yes
1426,center,207,247,veteran,27,1065,no
1427,forward,198,223,veteran,29,362,yes
1428,center,196,235,veteran,32,47,no
1429,forward,190,215,rookie,22,1179,no
1430,forward,192,218,veteran,29,561,yes
1431,center,201,244,mid-career,25,1111,yes
1432,forward,192,219,rookie,22,1359,no
1433,forward,184,213,mid-career,32,12,no
1434,center,218,251,mid-career,35,60,no
1435,forward,205,232,rookie,24,1416,no
1436,forward,198,223,veteran,29,362,yes
1437,center,196,235,veteran,32,47,no
1438,forward,205,232,rookie,24,1416,no
1439,forward,192,218,veteran,29,561,yes
1440,forward,184,213,mid-career,32,12,no
1441,guard,166,188,rookie,21,1536,yes
1442,guard,172,183,rookie,24,1383,yes
1443,guard,185,197,mid-career,29,178,yes
1444,forward,192,219,rookie,22,1359,no
1445,guard,172,183,rookie,24,1383,yes
1446,guard,178,193,rookie,21,1078,no
1447,guard,192,200,mid-career,32,427,yes
1448,guard,178,193,rookie,21,1078,no
1449,guard,185,197,mid-career,29,178,yes
1450,center,207,247,veteran,27,1065,no
1451,guard,182,199,rookie,21,1678,yes
1452,forward,198,223,veteran,29,362,yes
1453,center,207,247,veteran,27,1065,no
1454,guard,185,197,mid-career,29,178,yes
1455,forward,192,219,rookie,22,1359,no
1456,guard,185,207,rookie,23,1497,yes
1457,guard,172,183,rookie,24,1383,yes
1458,center,218,251,mid-career,35,60,no
1459,center,196,235,veteran,32,47,no
1460,center,195,235,mid-career,28,481,no
1461,center,195,235,mid-career,28,481,no
1462,forward,192,219,rookie,22,1359,no
1463,forward,192,219,rookie,22,1359,no
1464,forward,191,218,rookie,19,1855,no
1465,center,206,246,mid-career,29,314,no
1466,center,196,235,veteran,32,47,no
1467,forward,198,223,veteran,29,362,yes
1468,guard,192,200,mid-career,32,427,yes
1469,center,206,246,mid-career,29,314,no
1470,center,201,244,mid-career,25,1111,yes
1471,forward,205,232,rookie,24,1416,no
1472,guard,182,199,rookie,21,1678,yes
1473,guard,166,188,rookie,21,1536,yes
1474,guard,166,188,rookie,21,1536,yes
1475,guard,182,199,rookie,21,1678,yes
1476,forward,190,215,rookie,22,1179,no
1477,guard,185,197,mid-career,29,178,yes
1478,forward,191,218,rookie,19,1855,no
1479,guard,169,183,rookie,24,1034,yes
1480,center,206,246,mid-career,29,314,no
1481,guard,185,207,rookie,23,1497,yes
1482,forward,191,218,rookie,19,1855,no
1483,guard,172,183,rookie,24,1383,yes
1484,guard,182,199,rookie,21,1678,yes
1485,center,201,244,mid-career,25,1111,yes
1486,guard,190,207,mid-career,27,648,yes
1487,guard,185,200,mid-career,31,213,yes
1488,forward,192,218,veteran,29,561,yes
1489,guard,185,197,mid-career,29,178,yes
1490,guard,182,199,rookie,21,1678,yes
1491,forward,198,221,rookie,22,1409,no
1492,center,206,246,mid-career,29,314,no
1493,guard,185,207,rookie,23,1497,yes
1494,guard,185,207,rookie,23,1497,yes
1495,forward,192,219,rookie,22,1359,no
1496,forward,215,232,mid-career,30,434,no
1497,forward,192,219,rookie,22,1359,no
1498,forward,198,223,veteran,29,362,yes
1499,guard,178,193,rookie,21,1078,no
1500,forward,198,223,veteran,29,362,yes
1501,guard,182,199,rookie,21,1678,yes
1502,forward,205,232,rookie,24,1416,no
1503,guard,158,184,veteran,29,162,yes
1504,forward,198,221,rookie,22,1409,no
1505,forward,191,218,rookie,19,1855,no
1506,guard,189,199,mid-career,27,385,yes
1507,forward,184,213,,32,12,no
1508,center,195,235,mid-career,28,481,no
1509,center,207,247,veteran,27,1065,no
1510,guard,169,183,rookie,24,1034,yes
1511,guard,182,199,rookie,21,1678,yes
1512,guard,189,199,mid-career,27,385,yes
1513,forward,184,213,mid-career,32,12,no
1514,center,206,246,mid-career,29,314,no
1515,forward,190,215,rookie,22,1179,no
1516,forward,192,218,veteran,29,561,yes
1517,guard,169,183,rookie,24,1034,yes
1518,forward,198,223,veteran,29,362,yes
1519,forward,202,220,mid-career,31,542,no
1520,forward,191,218,rookie,19,1855,no
1521,guard,169,183,rookie,24,1034,yes
1522,forward,192,219,rookie,22,1359,no
1523,forward,184,213,mid-career,32,12,no
1524,forward,190,215,rookie,22,1179,no
1525,guard,185,200,mid-career,31,213,yes
1526,forward,192,218,veteran,29,561,yes
1527,forward,184,213,mid-career,32,12,no
1528,forward,190,215,rookie,22,1179,no
1529,center,195,235,mid-career,28,481,no
1530,guard,182,199,rookie,21,1678,yes
1531,guard,185,197,mid-career,29,178,yes
1532,forward,202,220,mid-career,31,542,no
1533,guard,185,197,mid-career,29,178,yes
1534,guard,189,199,mid-career,27,385,yes
1535,forward,202,220,mid-career,31,542,no
1536,guard,189,199,mid-career,27,385,yes
1537,forward,205,232,rookie,24,1416,no
1538,guard,192,200,mid-career,32,427,yes
1539,guard,185,200,mid-career,31,213,yes
1540,forward,202,220,mid-career,31,542,no
1541,forward,191,218,rookie,19,1855,no
1542,guard,189,199,mid-career,27,385,yes
1543,forward,197,221,rookie,22,1312,no
1544,guard,192,200,mid-career,32,427,yes
1545,guard,185,200,mid-career,31,213,yes
1546,forward,191,218,rookie,19,1855,no
1547,center,206,246,mid-career,29,314,no
1548,guard,166,188,rookie,21,1536,yes
1549,center,218,251,mid-career,35,60,no
1550,forward,195,221,veteran,25,694,no
1551,guard,190,207,mid-career,27,648,yes
1552,center,196,235,veteran,32,47,no
1553,center,218,251,mid-career,35,60,no
1554,center,196,235,veteran,32,47,no
1555,guard,158,184,veteran,29,162,yes
1556,center,206,246,mid-career,29,314,no
1557,center,196,235,veteran,32,47,no
1558,guard,185,207,rookie,23,1497,yes
1559,center,196,235,veteran,32,47,no
1560,center,195,235,mid-career,28,481,no
1561,forward,184,213,mid-career,32,12,no
1562,guard,178,193,rookie,21,1078,no
1563,guard,185,200,mid-career,31,213,yes
1564,forward,195,221,veteran,25,694,no
1565,guard,192,200,mid-career,32,427,yes
1566,guard,166,188,rookie,21,1536,yes
1567,forward,202,220,mid-career,31,542,no
1568,guard,178,193,rookie,21,1078,no
1569,forward,192,218,veteran,29,561,yes
1570,guard,158,184,veteran,29,162,yes
1571,center,207,247,veteran,27,1065,no
1572,center,206,246,mid-career,29,314,no
1573,forward,184,213,mid-career,32,12,no
1574,forward,191,218,rookie,19,1855,no
1575,forward,198,221,rookie,22,1409,no
1576,guard,190,207,mid-career,27,648,yes
1577,forward,202,220,mid-career,31,542,no
1578,guard,158,184,veteran,29,162,yes
1579,forward,195,221,veteran,25,694,no
1580,guard,158,184,veteran,29,162,yes
1581,guard,192,200,mid-career,32,427,yes
1582,guard,189,199,mid-career,27,385,yes
1583,guard,158,184,veteran,29,162,yes
1584,guard,192,200,mid-career,32,427,yes
1585,forward,184,213,mid-career,32,12,no
1586,forward,184,213,mid-career,32,12,no
1587,forward,198,221,rookie,22,1409,no
1588,center,207,247,veteran,27,1065,no
1589,guard,182,199,rookie,21,1678,yes
1590,guard,158,184,veteran,29,162,yes
1591,forward,195,221,veteran,25,694,no
1592,forward,192,218,veteran,29,561,yes
1593,guard,172,183,rookie,24,1383,yes
1594,center,201,244,mid-career,25,1111,yes
1595,forward,190,215,rookie,22,1179,no
1596,center,195,235,mid-career,28,481,no
1597,center,196,235,veteran,32,47,no
1598,guard,178,193,rookie,21,1078,no
1599,center,195,235,mid-career,28,481,no
1600,center,201,244,mid-career,25,1111,yes
1601,center,201,244,mid-career,25,1111,yes
1602,center,207,247,veteran,27,1065,no
1603,guard,158,184,veteran,29,162,yes
1604,guard,172,183,rookie,24,1383,yes
1605,center,207,247,veteran,27,1065,no
1606,center,201,244,mid-career,25,1111,yes
1607,forward,215,232,mid-career,30,434,no
1608,guard,182,199,rookie,21,1678,yes
1609,center,195,235,mid-career,28,481,no
1610,guard,190,207,mid-career,27,648,yes
1611,forward,192,218,veteran,29,561,yes
1612,guard,169,183,rookie,24,1034,yes
1613,center,195,235,mid-career,28,481,no
1614,guard,185,197,mid-career,29,178,yes
1615,guard,190,207,,27,648,yes
1616,center,218,251,mid-career,35,60,no
1617,forward,184,213,mid-career,32,12,no
1618,forward,198,221,rookie,22,1409,no
1619,guard,158,184,veteran,29,162,yes
1620,guard,190,207,mid-career,27,648,yes
1621,center,201,244,mid-career,25,1111,yes
1622,guard,166,188,rookie,21,1536,yes
1623,center,195,235,mid-career,28,481,no
1624,forward,192,219,rookie,22,1359,no
1625,forward,192,218,veteran,29,561,yes
1626,guard,182,199,rookie,21,1678,yes
1627,center,207,247,veteran,27,1065,no
1628,forward,190,215,rookie,22,1179,no
1629,forward,195,221,veteran,25,694,no
1630,forward,197,221,rookie,22,1312,no
1631,forward,205,232,rookie,24,1416,no
1632,forward,205,232,rookie,24,1416,no
1633,center,195,235,mid-career,28,481,no
1634,guard,169,183,rookie,24,1034,yes
1635,center,218,251,mid-career,35,60,no
1636,forward,198,221,rookie,22,1409,no
1637,forward,192,218,veteran,29,561,yes
1638,forward,190,215,rookie,22,1179,no
1639,forward,190,215,rookie,22,1179,no
1640,forward,198,221,rookie,22,1409,no
1641,guard,190,207,mid-career,27,648,yes
1642,forward,195,221,veteran,25,694,no
1643,center,207,247,veteran,27,1065,no
1644,guard,182,199,rookie,21,1678,yes
1645,forward,192,218,veteran,29,561,yes
1646,guard,185,200,mid-career,31,213,yes
1647,forward,190,215,rookie,22,1179,no
1648,forward,197,221,rookie,22,1312,no
1649,guard,178,193,rookie,21,1078,no
1650,forward,190,215,rookie,22,1179,no
1651,center,196,235,veteran,32,47,no
1652,center,207,247,veteran,27,1065,no
1653,guard,182,199,rookie,21,1678,yes
1654,forward,184,213,mid-career,32,12,no
1655,guard,185,200,mid-career,31,213,yes
1656,guard,185,197,mid-career,29,178,yes
1657,forward,198,223,veteran,29,362,yes
1658,forward,197,221,rookie,22,1312,no
1659,center,195,235,mid-career,28,481,no
1660,forward,192,218,veteran,29,561,yes
1661,forward,198,221,rookie,22,1409,no
1662,guard,185,197,mid-career,29,178,yes
1663,guard,182,199,rookie,21,1678,yes
1664,center,218,251,mid-career,35,60,no
1665,forward,197,221,rookie,22,1312,no
1666,guard,178,193,rookie,21,1078,no
1667,guard,169,183,rookie,24,1034,yes
1668,guard,178,193,rookie,21,1078,no
1669,guard,169,183,rookie,24,1034,yes
1670,center,206,246,mid-career,29,314,no
1671,forward,215,232,mid-career,30,434,no
1672,forward,192,219,rookie,22,1359,no
1673,guard,192,200,mid-career,32,427,yes
1674,forward,198,223,veteran,29,362,yes
1675,forward,184,213,mid-career,32,12,no
1676,forward,202,220,mid-career,31,542,no
1677,guard,169,183,rookie,24,1034,yes
1678,forward,190,215,rookie,22,1179,no
1679,forward,215,232,mid-career,30,434,no
1680,guard,190,207,mid-career,27,648,yes
1681,forward,195,221,veteran,25,694,no
1682,forward,205,232,rookie,24,1416,no
1683,forward,195,221,veteran,25,694,no
1684,forward,192,218,veteran,29,561,yes
1685,forward,190,215,rookie,22,1179,no
1686,forward,202,220,mid-career,31,542,no
1687,center,195,235,mid-career,28,481,no
1688,forward,215,232,mid-career,30,434,no
1689,center,207,247,veteran,27,1065,no
1690,center,195,235,mid-career,28,481,no
1691,forward,192,219,rookie,22,1359,no
1692,center,207,247,veteran,27,1065,no
1693,forward,198,221,rookie,22,1409,no
1694,guard,190,207,mid-career,27,648,yes
1695,center,218,251,mid-career,35,60,no
1696,forward,192,218,veteran,29,561,yes
1697,guard,185,197,mid-career,29,178,yes
1698,forward,198,223,veteran,29,362,yes
1699,guard,192,200,mid-career,32,427,yes
1700,center,206,246,mid-career,29,314,no
1701,forward,205,232,rookie,24,1416,no
1702,center,218,251,mid-career,35,60,no
1703,forward,197,221,rookie,22,1312,no
1704,forward,190,215,rookie,22,1179,no
1705,forward,190,215,rookie,22,1179,no
1706,guard,185,207,rookie,23,1497,yes
1707,guard,192,200,mid-career,32,427,yes
1708,forward,198,223,veteran,29,362,yes
1709,forward,198,223,veteran,29,362,yes
1710,guard,166,188,rookie,21,1536,yes
1711,center,201,244,mid-career,25,1111,yes
1712,guard,189,199,mid-career,27,385,yes
1713,center,218,251,mid-career,35,60,no
1714,forward,202,220,mid-career,31,542,no
1715,guard,185,207,rookie,23,1497,yes
1716,forward,197,221,rookie,22,1312,no
1717,guard,192,200,mid-career,32,427,yes
1718,forward,191,218,rookie,19,1855,no
1719,forward,184,213,mid-career,32,12,no
1720,guard,185,207,rookie,23,1497,yes
1721,guard,178,193,rookie,21,1078,no
1722,guard,158,184,veteran,29,162,yes
1723,forward,205,232,rookie,24,1416,no
1724,center,201,244,mid-career,25,1111,yes
1725,guard,178,193,rookie,21,1078,no
1726,center,196,235,veteran,32,47,no
1727,guard,169,183,rookie,24,1034,yes
1728,forward,190,215,rookie,22,1179,no
1729,guard,158,184,veteran,29,162,yes
1730,guard,190,207,mid-career,27,648,yes
1731,center,195,235,mid-career,28,481,no
1732,guard,158,184,veteran,29,162,yes
1733,guard,169,183,rookie,24,1034,yes
1734,guard,189,199,mid-career,27,385,yes
1735,guard,182,199,rookie,21,1678,yes
1736,center,218,251,mid-career,35,60,no
1737,guard,172,183,rookie,24,1383,yes
1738,guard,185,200,mid-career,31,213,yes
1739,forward,195,221,veteran,25,694,no
1740,guard,189,199,mid-career,27,385,yes
1741,forward,184,213,mid-career,32,12,no
1742,forward,184,213,mid-career,32,12,no
1743,center,206,246,mid-career,29,314,no
1744,guard,169,183,rookie,24,1034,yes
1745,forward,192,219,rookie,22,1359,no
1746,forward,191,218,rookie,19,1855,no
1747,forward,191,218,rookie,19,1855,no
1748,center,207,247,veteran,27,1065,no
1749,guard,172,183,rookie,24,1383,yes
1750,center,218,251,mid-career,35,60,no
1751,forward,190,215,rookie,22,1179,no
1752,forward,198,223,veteran,29,362,yes
1753,center,206,246,mid-career,29,314,no
1754,guard,166,188,rookie,21,1536,yes
1755,guard,190,207,mid-career,27,648,yes
1756,forward,202,220,mid-career,31,542,no
1757,forward,205,232,rookie,24,1416,no
1758,forward,192,219,rookie,22,1359,no
1759,guard,189,199,mid-career,27,385,yes
1760,guard,166,188,rookie,21,1536,yes
1761,center,218,251,mid-career,35,60,no
1762,guard,158,184,veteran,29,162,yes
1763,forward,198,223,veteran,29,362,yes
1764,guard,185,200,mid-career,31,213,yes
1765,guard,166,188,rookie,21,1536,yes
1766,forward,191,218,rookie,19,1855,no
1767,guard,185,207,rookie,23,1497,yes
1768,forward,190,215,rookie,22,1179,no
1769,forward,202,220,mid-career,31,542,no
1770,,205,232,rookie,24,1416,no
1771,forward,184,213,mid-career,32,12,no
1772,forward,202,220,mid-career,31,542,no
1773,center,196,235,veteran,32,47,no
1774,guard,185,200,mid-career,31,213,yes
1775,guard,166,188,rookie,21,1536,yes
1776,center,196,235,veteran,32,47,no
1777,guard,182,199,rookie,21,1678,yes
1778,center,218,251,mid-career,35,60,no
1779,guard,185,207,rookie,23,1497,yes
1780,guard,172,183,rookie,24,1383,yes
1781,guard,185,200,mid-career,31,213,yes
1782,forward,202,220,mid-career,31,542,no
1783,forward,195,221,veteran,25,694,no
1784,forward,205,232,rookie,24,1416,no
1785,guard,172,183,rookie,24,1383,yes
1786,guard,158,184,veteran,29,162,yes
1787,forward,191,218,rookie,19,1855,no
1788,forward,202,220,mid-career,31,542,no
1789,forward,198,221,rookie,22,1409,no
1790,center,201,244,mid-career,25,1111,yes
1791,forward,191,218,rookie,19,1855,no
1792,guard,169,183,rookie,24,1034,yes
1793,center,218,251,mid-career,35,60,no
1794,forward,198,221,rookie,22,1409,no
1795,forward,184,213,mid-career,32,12,no
1796,center,206,246,mid-career,29,314,no
1797,forward,192,218,veteran,29,561,yes
1798,center,195,235,mid-career,28,481,no
1799,forward,202,220,mid-career,31,542,no
1800,forward,192,219,rookie,22,1359,no
1801,center,195,235,mid-career,28,481,no
1802,forward,191,218,rookie,19,1855,no
1803,center,207,247,veteran,27,1065,no
1804,forward,202,220,mid-career,31,542,no
1805,center,206,246,mid-career,29,314,no
1806,guard,182,199,rookie,21,1678,yes
1807,center,206,246,mid-career,29,314,no
1808,forward,192,219,rookie,22,1359,no
1809,guard,158,184,veteran,29,162,yes
1810,center,196,235,veteran,32,47,no
1811,forward,195,221,veteran,25,694,no
1812,guard,182,199,rookie,21,1678,yes
1813,forward,197,221,rookie,22,1312,no
1814,forward,184,213,mid-career,32,12,no
1815,center,218,251,mid-career,35,60,no
1816,forward,190,215,rookie,22,1179,no
1817,guard,185,197,mid-career,29,178,yes
1818,guard,178,193,rookie,21,1078,no
